name,total,lat,lng
고산2동행정복지센터앞,5986,35.84311,128.69464
고산골입구,1337,35.83421,128.60244
고산농협창고건너,454,35.84267,128.68947
고산농협창고앞,196,35.84244,128.6897
고산도서관,11626,35.83834,128.7109
고산정수사업소건너,418,35.83159,128.69881
고성아파트(서편),2663,35.88058,128.58058
고성아파트건너,516,35.87985,128.58195
고성아파트건너(서편),1724,35.88044,128.5803
고성아파트앞,11,35.88,128.58182
고성지구대1,304,35.87934,128.589
고성지구대2,1375,35.87946,128.58886
골안골,4,35.83078,128.56473
공고네거리1,10043,35.88161,128.61597
공고네거리2,4680,35.88141,128.61595
공단역1,8422,35.89166,128.55405
공단역2,7158,35.89163,128.55375
공산댐건너,416,35.94492,128.64692
공산댐앞,2,35.94511,128.64729
공산동행정복지센터건너,375,35.93988,128.64571
공산동행정복지센터앞,1041,35.94004,128.64552
공산초등학교건너,19,35.95608,128.69206
공산초등학교앞,834,35.95615,128.69194
공산파출소,6,35.9797,128.63393
공항시장건너,3694,35.89686,128.63784
공항시장앞,1483,35.89659,128.63788
과학마을청아람앞,3672,35.65503,128.41765
곽병원건너,47581,35.87029,128.58967
곽병원앞1,19504,35.87041,128.58964
곽병원앞2,10432,35.87035,128.58928
관리공단,175,35.72915,128.46079
관음공영주차장앞,737,35.93974,128.54444
관음농협앞,421,35.93871,128.5444
관음동행정복지센터건너,363,35.94501,128.54689
관음동행정복지센터앞,458,35.94481,128.54643
관음변전소1,1231,35.94219,128.54214
관음변전소3,67,35.94184,128.5419
관음어린이집,330,35.94333,128.5451
관음중학교(북편),559,35.94274,128.54493
광명프레지던트아파트건너,3016,35.83917,128.61207
광장타운건너,9974,35.85586,128.55272
광장타운앞,14305,35.85578,128.5515
교대부설초등학교건너,882,35.80586,128.53151
교대부설초등학교앞,126,35.80537,128.53177
교동시장앞,1589,35.87416,128.59938
교동초등학교건너,263,35.94511,128.54858
교동초등학교앞,374,35.94504,128.54856
교통연수원,3801,35.83019,128.62987
교통연수원건너,2784,35.82987,128.63062
교항2리회관,18,35.78719,128.44543
교항리건너,1078,35.78366,128.44927
교항리앞,170,35.78386,128.44909
구)대영학원건너,5719,35.86651,128.57097
구)대영학원앞,8026,35.86781,128.57089
구.남부정류장건너1,8949,35.85811,128.64754
구.남부정류장건너2,7837,35.85755,128.64862
구.남부정류장앞1,13676,35.85802,128.64829
구.남부정류장앞2,3450,35.85779,128.64876
구.동부정류장(남편),2432,nan,nan
구.동부정류장(메트로팔레스),5572,35.87013,128.63294
구.동부정류장건너,5932,nan,nan
구.동부정류장앞,2596,nan,nan
구둔산,1,35.89674,128.67157
구병원건너,3936,35.85221,128.54204
구병원앞,10388,35.85165,128.54174
구암가구골목1,377,35.92533,128.55574
구암가구골목2,219,35.92578,128.55672
구암교1,2248,35.92549,128.54869
구암교2,916,35.92549,128.54852
구암동1,116,35.95461,128.67958
구암동2,11,35.95444,128.67969
구암역(운전면허시험장)1,1422,35.92525,128.55144
구암역(운전면허시험장)2,1081,35.92512,128.55143
구암초등학교건너,566,35.9277,128.55901
구암초등학교앞,770,35.92702,128.5579
구지면사무소건너,34,35.65903,128.4132
구지면사무소앞,329,35.65897,128.41327
국립대구박물관건너,2598,35.84666,128.63926
국립대구박물관앞,2133,35.8471,128.63924
국립신암선열공원건너,1624,35.88917,128.62812
국립신암선열공원앞,679,35.88888,128.62891
국민건강보험공단건너,15530,35.85653,128.55823
국민건강보험공단앞,11819,35.85576,128.5591
국민연금네거리,7295,35.85524,128.50892
국민연금네거리1,4064,35.85543,128.50822
국민은행3공단지점건너,1548,35.89663,128.57443
국민은행3공단지점앞,784,35.89743,128.57569
국우동현대아파트건너,147,35.94775,128.58006
국우동현대아파트건너2,49,35.9491,128.5802
국우동현대아파트앞,690,35.94782,128.57987
국채보상운동기념공원,4488,35.86826,128.60384
굿모닝병원건너,4357,35.85436,128.57392
굿모닝병원앞,4599,35.85328,128.57391
그랜드호텔건너,16506,35.8572,128.6261
그랜드호텔앞,30047,35.85719,128.62559
그린빌4단지,35,35.9366,128.56534
그린빌4단지건너,355,35.93793,128.56792
그린빌4단지앞,238,35.93766,128.56755
근로복지공단대구병원건너,132,35.95101,128.56531
근로복지공단대구병원앞,3466,35.9509,128.56513
근린공원축구장건너,621,35.63972,128.41883
근린공원축구장앞,782,35.64095,128.41791
금강동,23,35.85911,128.73638
금계초등학교(교항리),57,35.78941,128.44426
금계초등학교(교항리)건너,580,35.78944,128.44434
금복주건너,1477,35.84176,128.5071
금복주앞,899,35.84286,128.50741
금봉네거리1,2405,35.84337,128.55201
금봉네거리2,2171,35.84272,128.55294
금사리하이빌APT건너,316,35.88403,128.65616
금사리하이빌APT앞,161,35.88392,128.6568
금융감독원건너,209,35.84187,128.61228
금포1교1,191,35.77219,128.42378
금포교,38,35.77427,128.42259
금포새터길1,196,35.77365,128.42729
금포초등학교,902,35.77579,128.42428
금포초등학교건너,153,35.77578,128.42381
금호119안전센터건너,209,35.89667,128.52244
금호기전,80,35.84107,128.47798
금호서한이다음아파트앞,776,35.89717,128.51012
금호지구종점(시내방향),253,35.89651,128.50963
