name,total,lat,lng
농협중앙회건너,5090,35.87785,128.60792
농협중앙회앞,6459,35.87765,128.6072
농협중앙회중동지점건너,27,35.84722,128.61113
농협중앙회중동지점앞,180,35.84703,128.61133
농협하나로마트건너,113,35.85022,128.52916
능성동(종점)2,1,35.96318,128.74308
능성동입구앞,47,35.95884,128.711
다사고등학교건너,956,35.86077,128.46203
다사고등학교앞,1271,35.86081,128.46232
다사농협세천지점건너,164,35.87395,128.47537
다사농협세천지점앞,96,35.87413,128.47515
다사농협주유소건너,554,35.87096,128.49677
다사농협주유소앞,402,35.87116,128.49682
다사읍사무소서재출장소건너,11,35.87238,128.49462
다사읍사무소서재출장소앞,192,35.87242,128.49422
다사읍행정복지센터건너,37,35.86127,128.45537
다사읍행정복지센터앞,38,35.86065,128.45382
다사주공아파트앞,10,35.86642,128.45684
다사초등학교앞,9,35.86775,128.45783
달구벌종합복지관건너,97,35.8532,128.52467
달구벌종합복지관앞,87,35.85337,128.52473
달서공고건너,124,35.82502,128.53891
달서공고앞,20,35.8248,128.53824
달서교회건너,2784,35.87227,128.56866
달서교회앞,3247,35.87202,128.56774
달서구새마을회건너,19,35.8418,128.53501
달서구새마을회앞,265,35.84196,128.53509
달서구청건너,1234,35.82949,128.5339
달서구청앞,1824,35.82976,128.53374
달서구치매안심센터건너,251,35.84263,128.53682
달서구치매안심센터앞,440,35.8426,128.53723
달서자동차검사소건너,306,35.81292,128.51626
달서자동차검사소앞,93,35.81281,128.51669
달서종합시장건너,56,35.8394,128.54279
달서종합시장앞,176,35.83956,128.54328
달서중고등학교,10,35.88439,128.42197
달서중고등학교,10,35.88622,128.42123
달서초교,56,35.86702,128.54976
달성경찰서,166,35.69084,128.44708
달성경찰서건너,29,nan,nan
달성공원건너,1232,35.87255,128.58224
달성공원앞,2498,35.87459,128.58202
달성군민운동장앞,146,35.72921,128.45215
달성군선거관리위원회건너,13,35.80453,128.50549
달성군선거관리위원회앞,178,35.80463,128.50555
달성군청건너,93,35.77529,128.4304
달성군청앞,70,35.77517,128.43048
달성기와건너,148,35.73632,128.46852
달성소방서건너,68,35.68214,128.44647
달성소방서앞,44,35.68206,128.44674
달성예비군훈련장건너,37,35.77209,128.41682
달성예비군훈련장앞,25,35.77193,128.41679
달성우체국건너,97,35.69388,128.43917
달성우체국앞,49,35.69436,128.43936
달성중학교건너,395,35.8012,128.49334
달성중학교앞,1911,35.80111,128.49359
달성초등학교건너,128,35.88178,128.57898
달성초등학교앞,132,35.88206,128.5785
달성취수장건너,182,35.73169,128.42717
달성취수장앞,146,35.73327,128.42547
달성화성파크드림앞,778,35.65501,128.4173
담티고개1,760,35.85089,128.66491
담티고개2,409,35.85101,128.66535
당동마을앞,16,35.95481,128.70382
대건고교-효성여고1,1591,35.83613,128.53078
대건고교-효성여고2,355,35.83601,128.53063
대곡강산타운,891,35.8051,128.5355
대곡강산타운건너,1198,35.80515,128.53532
대곡고등학교건너,350,35.80411,128.53701
대곡공원건너,125,35.80687,128.5284
대곡사계절타운건너,190,35.80659,128.53809
대곡사계절타운앞,1432,35.80674,128.53836
대곡역(1번출구),1314,35.80894,128.51114
대곡역(2번출구),2549,35.80887,128.51125
대곡역(한라하우젠트건너),7484,35.80865,128.51273
대곡역(한라하우젠트앞),1467,35.80893,128.51269
대곡역그린빌,1595,35.80451,128.51083
대곡주공1단지앞,1152,35.80654,128.54068
대곡주공2단지앞,291,35.8063,128.54041
대곡주공5단지건너,67,35.80989,128.53231
대곡주공5단지앞,202,35.80951,128.53144
대곡주공6단지앞,368,35.80447,128.53356
대곡주공7단지앞,649,35.80433,128.53368
대곡주공8단지건너,215,35.80731,128.5305
대곡주공8단지앞,642,35.80769,128.52926
대곡중학교건너,226,35.80721,128.53285
대곡청구아파트건너,16,35.80763,128.51618
대공원역(1번출구),1840,35.84277,128.68043
대공원역(5번출구),375,35.84212,128.68145
대구가톨릭대학병원건너,1330,35.84451,128.56938
대구가톨릭대학병원앞,1216,35.84455,128.56913
대구경북과학기술원,4,nan,nan
대구경북지방병무청,1089,35.87707,128.73519
대구고등학교건너,3548,35.84669,128.59053
대구고등학교앞,3003,35.8473,128.5904
대구고용노동청건너,607,35.85033,128.62527
대구고용노동청앞,551,35.84912,128.62469
대구공업대학1,1446,35.83715,128.54557
대구공업대학2,1757,35.83736,128.54586
대구공업대학건너,1287,35.83632,128.54477
대구공업대학앞,910,35.83603,128.54462
대구과학고등학교건너,4141,35.84429,128.62429
대구과학고등학교앞,364,35.84456,128.62484
대구과학대학1,4319,nan,nan
대구과학대학2,1352,nan,nan
대구과학대학건너,113,nan,nan
대구과학대학앞,260,nan,nan
대구광역시교육연수원건너,465,35.8471,128.54533
대구광역시교육연수원앞,3130,35.8472,128.54513
대구광역시청건너,1551,35.87202,128.60082
대구광역시청앞,120,35.87221,128.60097
대구교도소건너,1733,35.80513,128.50237
대구교도소앞,467,35.80505,128.50311
대구교육대건너,2010,35.85064,128.59075
대구교육대앞,2419,35.85173,128.59047
대구교통방송건너,2983,35.84178,128.57994
대구교통방송앞,731,35.84208,128.58
대구국제공항건너,6085,35.89889,128.6366
대구국제공항앞,3833,35.89921,128.63653
대구국제공항여객청사,56,35.89983,128.63731
대구농업마이스터고건너,1215,35.84158,128.70262
대구농업마이스터고앞,7492,35.84128,128.70234
대구농업마이스터고후문건너,602,35.83085,128.70182
대구농업마이스터고후문앞,164,35.83121,128.70185
대구도시공사앞,1163,35.88376,128.58806
대구동부고용복지플러스센터,2022,35.88164,128.61713
대구동촌유치원,83,35.88485,128.65288
대구맨션건너,351,35.85981,128.60094
대구맨션앞,178,35.86011,128.60083
대구문화방송건너,2244,35.86554,128.62657
대구문화방송앞,905,35.86522,128.62719
대구물류터미널건너,24,35.83665,128.51878
대구물류터미널앞,63,35.83646,128.51965
대구미술관건너,6,35.82965,128.67423
대구미술관앞,5,35.82936,128.67457
대구병원건너,615,35.91288,128.54836
대구병원앞,1962,35.91281,128.54861
대구보건고등학교건너,2434,35.85757,128.5744
대구보건고등학교앞,1534,35.85764,128.57416
대구보건대학3,2570,nan,nan
대구보건대학4,1326,nan,nan
