,lat,lon,value
428,35.8281,128.5451,240988
429,35.8281,128.5551,0
430,35.8281,128.5651,0
431,35.8281,128.5751,0
432,35.8281,128.5851,0
433,35.8281,128.5951,0
434,35.8281,128.6051,0
435,35.8281,128.6151,0
436,35.8281,128.6251,108752
437,35.8281,128.6351,184314
438,35.8281,128.6451,82966
439,35.8281,128.6551,0
440,35.8281,128.6651,0
441,35.8281,128.6751,0
442,35.8281,128.6851,0
443,35.8281,128.6951,0
444,35.8281,128.7051,0
445,35.8281,128.7151,0
446,35.8281,128.7251,0
447,35.8281,128.7351,0
448,35.8281,128.7451,0
449,35.8281,128.7551,0
450,35.8181,128.4651,0
451,35.8181,128.4751,0
452,35.8181,128.4851,0
453,35.8181,128.4951,0
454,35.8181,128.5051,353934
455,35.8181,128.5151,361908
456,35.8181,128.5251,197114
457,35.8181,128.5351,0
458,35.8181,128.5451,0
459,35.8181,128.5551,0
460,35.8181,128.5651,0
461,35.8181,128.5751,0
462,35.8181,128.5851,0
463,35.8181,128.5951,0
464,35.8181,128.6051,0
465,35.8181,128.6151,0
466,35.8181,128.6251,0
467,35.8181,128.6351,0
468,35.8181,128.6451,0
469,35.8181,128.6551,0
470,35.8181,128.6651,0
471,35.8181,128.6751,0
472,35.8181,128.6851,0
473,35.8181,128.6951,0
474,35.8181,128.7051,0
475,35.8181,128.7151,0
476,35.8181,128.7251,0
477,35.8181,128.7351,0
478,35.8181,128.7451,0
479,35.8181,128.7551,0
480,35.8081,128.4651,0
481,35.8081,128.4751,0
482,35.8081,128.4851,161265
483,35.8081,128.4951,179028
484,35.8081,128.5051,0
485,35.8081,128.5151,0
486,35.8081,128.5251,0
487,35.8081,128.5351,0
488,35.8081,128.5451,0
489,35.8081,128.5551,0
490,35.8081,128.5651,0
491,35.8081,128.5751,0
492,35.8081,128.5851,0
493,35.8081,128.5951,0
494,35.8081,128.6051,0
495,35.8081,128.6151,0
496,35.8081,128.6251,0
497,35.8081,128.6351,0
498,35.8081,128.6451,0
499,35.8081,128.6551,0
500,35.8081,128.6651,0
501,35.8081,128.6751,0
502,35.8081,128.6851,0
503,35.8081,128.6951,0
504,35.8081,128.7051,0
505,35.8081,128.7151,0
506,35.8081,128.7251,0
507,35.8081,128.7351,0
508,35.8081,128.7451,0
509,35.8081,128.7551,0
