,Unnamed: 0,lat,lon,value
400,400,35.8381,128.5651,12069
401,401,35.8381,128.5751,10088
402,402,35.8381,128.5851,2723
403,403,35.8381,128.5951,11268
404,404,35.8381,128.6051,15116
405,405,35.8381,128.6151,36269
406,406,35.8381,128.6251,7493
407,407,35.8381,128.6351,248
408,408,35.8381,128.6451,16
409,409,35.8381,128.6551,1
410,410,35.8381,128.6651,52
411,411,35.8381,128.6751,306
412,412,35.8381,128.6851,426
413,413,35.8381,128.6951,3251
414,414,35.8381,128.7051,6823
415,415,35.8381,128.7151,4746
416,416,35.8381,128.7251,4154
417,417,35.8381,128.7351,1699
418,418,35.8381,128.7451,1793
419,419,35.8381,128.7551,102
420,420,35.8281,128.4651,18
421,421,35.8281,128.4751,0
422,422,35.8281,128.4851,67
423,423,35.8281,128.4951,365
424,424,35.8281,128.5051,2076
425,425,35.8281,128.5151,8371
426,426,35.8281,128.5251,24297
427,427,35.8281,128.5351,15707
428,428,35.8281,128.5451,22304
429,429,35.8281,128.5551,1230
430,430,35.8281,128.5651,15
431,431,35.8281,128.5751,1
432,432,35.8281,128.5851,18
433,433,35.8281,128.5951,2
434,434,35.8281,128.6051,5244
435,435,35.8281,128.6151,10188
436,436,35.8281,128.6251,17454
437,437,35.8281,128.6351,22731
438,438,35.8281,128.6451,2246
439,439,35.8281,128.6551,28
440,440,35.8281,128.6651,10
441,441,35.8281,128.6751,57
442,442,35.8281,128.6851,25
443,443,35.8281,128.6951,2
444,444,35.8281,128.7051,225
445,445,35.8281,128.7151,2995
446,446,35.8281,128.7251,3011
447,447,35.8281,128.7351,1280
448,448,35.8281,128.7451,713
449,449,35.8281,128.7551,241
450,450,35.8181,128.4651,62
451,451,35.8181,128.4751,198
452,452,35.8181,128.4851,337
453,453,35.8181,128.4951,455
454,454,35.8181,128.5051,12638
455,455,35.8181,128.5151,20309
456,456,35.8181,128.5251,19066
457,457,35.8181,128.5351,27435
458,458,35.8181,128.5451,16339
459,459,35.8181,128.5551,721
460,460,35.8181,128.5651,2
461,461,35.8181,128.5751,1
462,462,35.8181,128.5851,2
463,463,35.8181,128.5951,2
464,464,35.8181,128.6051,566
465,465,35.8181,128.6151,4940
466,466,35.8181,128.6251,49
467,467,35.8181,128.6351,5051
468,468,35.8181,128.6451,2854
469,469,35.8181,128.6551,9
470,470,35.8181,128.6651,0
471,471,35.8181,128.6751,0
472,472,35.8181,128.6851,0
473,473,35.8181,128.6951,1
474,474,35.8181,128.7051,2
475,475,35.8181,128.7151,153
476,476,35.8181,128.7251,1577
477,477,35.8181,128.7351,696
478,478,35.8181,128.7451,669
479,479,35.8181,128.7551,962
480,480,35.8081,128.4651,9
481,481,35.8081,128.4751,43
482,482,35.8081,128.4851,6225
483,483,35.8081,128.4951,11607
484,484,35.8081,128.5051,6156
485,485,35.8081,128.5151,3048
486,486,35.8081,128.5251,11911
487,487,35.8081,128.5351,11689
488,488,35.8081,128.5451,4826
489,489,35.8081,128.5551,633
490,490,35.8081,128.5651,1
491,491,35.8081,128.5751,0
492,492,35.8081,128.5851,0
493,493,35.8081,128.5951,0
494,494,35.8081,128.6051,8
495,495,35.8081,128.6151,2357
