START_X,START_Y,ARRIVE_X,ARRIVE_Y
START_X,START_,ARRIVE_X,ARRIVE_
35.694021,128.46051,35.727808,128.44599
35.863418,128.57159,35.829848,128.55071
35.834586,128.70820,35.883848,128.658421
35.942833,128.56160,35.94508,128.548401
35.944941,128.54685,35.997743,128.595466
35.854898,128.50296,35.838366,128.531108
35.85814,128.531141,35.853711,128.505
35.772161,128.42467,35.6917,128.465571
35.819645,128.55239,35.851908,128.506643
35.851908,128.50664,35.853963,128.49347
35.859418,128.56546,35.864358,128.577061
35.863706,128.57754,35.843605,128.541823
35.94278,128.56146,35.935021,128.567668
35.853978,128.50500,35.859358,128.494368
35.693601,128.47307,35.657529,128.420631
35.858678,128.53114,35.808616,128.53779
35.942612,128.56084,35.928042,128.548799
35.946212,128.55821,35.948993,128.579157
35.942646,128.55966,35.926255,128.54185
35.854108,128.50458,35.836986,128.554293
35.836986,128.55429,35.813465,128.520416
35.693461,128.45997,35.710523,128.468165
35.821613,128.53452,35.857738,128.52756
35.837031,128.61685,35.853986,128.617185
35.843756,128.54181,35.8628,128.582505
35.856416,128.58326,35.85505,128.592216
35.942629,128.56160,35.924726,128.543807
35.942956,128.56130,35.936071,128.566496
35.824248,128.52546,35.85361,128.517463
35.8637,128.556016,35.858755,128.540041
35.839851,128.62286,35.826995,128.622043
35.866678,128.59760,35.864034,128.646243
35.835024,128.55641,35.889163,128.565143
35.951568,128.56706,35.832991,128.621893
35.87617,128.61053,35.885561,128.591486
35.866978,128.59990,35.811006,128.543705
35.84192,128.62445,35.868776,128.62713
35.879296,128.62736,35.900618,128.620223
35.887626,128.65136,35.936091,128.54915
35.866471,128.60001,35.852628,128.483979
35.864671,128.56091,35.841651,128.546846
35.856438,128.58996,35.850943,128.581536
35.85192,128.584698,35.85261,128.610023
35.883653,128.59698,35.870885,128.588888
35.894106,128.59434,35.886555,128.631406
35.947203,128.57304,35.940913,128.568543
35.829621,128.55052,35.809356,128.553516
35.813481,128.52059,35.815916,128.529878
35.948613,128.56536,35.925556,128.547621
35.931556,128.56012,35.86684,128.599946
35.865723,128.59163,35.847278,128.537223
35.816856,128.53936,35.83326,128.576623
35.842058,128.57198,35.862458,128.55661
35.870155,128.57089,35.832326,128.53537
35.855245,128.60662,35.874463,128.598306
35.940461,128.54933,35.949696,128.554345
35.870111,128.58776,35.853363,128.584925
35.934646,128.54834,35.946023,128.551098
35.87046,128.597761,35.818585,128.633736
35.864653,128.59837,35.807421,128.622191
35.854296,128.52806,35.858841,128.521966
35.818028,128.53447,35.814511,128.526571
35.866125,128.59069,35.858748,128.630271
35.854776,128.61045,35.871196,128.604966
35.861156,128.64491,35.840378,128.624105
35.884583,128.58532,35.887261,128.558218
35.831051,128.61114,35.86772,128.601646
35.866905,128.59985,35.864213,128.459826
35.909608,128.54199,35.932476,128.549053
35.857983,128.53479,35.825053,128.527298
35.854508,128.61562,35.848781,128.56966
35.84948,128.571038,35.864333,128.598565
35.841303,128.62149,35.83907,128.604878
35.913373,128.54292,35.925773,128.545509
35.933354,128.56487,35.942413,128.560598
35.858415,128.46396,35.85302,128.477423
35.936854,128.56719,35.934748,128.542835
35.939051,128.54622,35.91475,128.548413
35.811641,128.53535,35.878951,128.627153
35.87097,128.689651,35.87097,128.689651
35.81376,128.522368,35.81588,128.542873
35.860086,128.61120,35.85479,128.610936
35.844568,128.60218,35.847345,128.586258
35.809963,128.52795,35.809376,128.526813
35.88223,128.619241,35.876641,128.619911
35.87097,128.689651,35.87097,128.689651
35.87097,128.689651,35.87097,128.689651
35.882301,128.61932,35.880383,128.636509
35.85705,128.589903,35.845871,128.580165
35.847125,128.58530,35.843936,128.590375
35.861865,128.60596,35.884111,128.637373
35.87639,128.603051,35.852548,128.509181
35.948431,128.56735,35.942666,128.56183
35.937341,128.55652,35.93758,128.532656
35.856383,128.55397,35.866733,128.568931
35.86686,128.569925,35.873591,128.564291
35.840161,128.60545,35.8425,128.59697
35.842726,128.59677,35.842143,128.583491
