,lat,lon,value
107,35.9381,128.6351,5212.2
108,35.9381,128.6451,21.499999999999996
109,35.9381,128.6551,0.3
110,35.9381,128.6651,16.3
111,35.9381,128.6751,12.0
112,35.9381,128.6851,53.9
113,35.9381,128.6951,2.8
114,35.9381,128.7051,4.8999999999999995
115,35.9381,128.7151,0.0
116,35.9381,128.7251,0.0
117,35.9381,128.7351,0.0
118,35.9381,128.7451,0.0
119,35.9381,128.7551,0.0
120,35.9281,128.4651,0.0
121,35.9281,128.4751,5.999999999999999
122,35.9281,128.4851,14.799999999999999
123,35.9281,128.4951,0.7
124,35.9281,128.5051,2.0
125,35.9281,128.5151,30.7
126,35.9281,128.5251,1.9
127,35.9281,128.5351,15516.3
128,35.9281,128.5451,109684.73
129,35.9281,128.5551,3027.8
130,35.9281,128.5651,0.6
131,35.9281,128.5751,0.7
132,35.9281,128.5851,254.6
133,35.9281,128.5951,36954.9
134,35.9281,128.6051,197.7
135,35.9281,128.6151,1.7
136,35.9281,128.6251,32.8
137,35.9281,128.6351,70377.9
138,35.9281,128.6451,40.49999999999999
139,35.9281,128.6551,119.39999999999999
140,35.9281,128.6651,5.1
141,35.9281,128.6751,0.0
142,35.9281,128.6851,0.0
143,35.9281,128.6951,0.0
144,35.9281,128.7051,0.0
145,35.9281,128.7151,0.0
146,35.9281,128.7251,0.0
147,35.9281,128.7351,0.0
148,35.9281,128.7451,0.0
149,35.9281,128.7551,1.7
150,35.9181,128.4651,0.7
151,35.9181,128.4751,2.8
152,35.9181,128.4851,19.199999999999996
153,35.9181,128.4951,27.5
154,35.9181,128.5051,16.9
155,35.9181,128.5151,9.7
156,35.9181,128.5251,6.699999999999999
157,35.9181,128.5351,10654.599999999999
158,35.9181,128.5451,33401.8
159,35.9181,128.5551,154.2
160,35.9181,128.5651,31.799999999999997
161,35.9181,128.5751,2927.8
162,35.9181,128.5851,73.89999999999999
163,35.9181,128.5951,19001.2
164,35.9181,128.6051,8791.1
165,35.9181,128.6151,9663.4
166,35.9181,128.6251,6527.4
167,35.9181,128.6351,30516.0
168,35.9181,128.6451,1201.6999999999998
