,name,cur_pop,lat,lng
90,대구광역시 남구 봉덕2동(2720054000),"10,766",35.84386,128.601046
91,대구광역시 남구 봉덕3동(2720055000),"16,901",35.842507,128.595822
92,대구광역시 남구 대명1동(2720056000),"11,597",35.840328,128.576921
93,대구광역시 남구 대명2동(2720057100),"11,318",35.855115999999995,128.586639
94,대구광역시 남구 대명3동(2720058600),"11,047",35.852368,128.579046
95,대구광역시 남구 대명4동(2720059000),"11,189",35.845987,128.569523
96,대구광역시 남구 대명5동(2720060000),"8,139",35.84324,128.58784599999998
97,대구광역시 남구 대명6동(2720061000),"9,625",35.835152,128.566081
98,대구광역시 남구 대명9동(2720064000),"15,806",35.837289,128.579158
99,대구광역시 남구 대명10동(2720065000),"9,306",35.840042,128.568883
100,대구광역시 남구 대명11동(2720066000),"8,416",35.836161,128.560421
101,대구광역시 서구 내당1동(2717051000),"8,763",35.860684,128.560726
102,대구광역시 서구 내당2.3동(2717052500),"10,320",35.867262,128.574481
103,대구광역시 서구 내당4동(2717054000),"17,149",35.858940999999994,128.551867
104,대구광역시 서구 비산1동(2717055000),"9,854",35.881231,128.56897800000002
105,대구광역시 서구 비산2.3동(2717056500),"9,653",35.875787,128.574687
106,대구광역시 서구 비산4동(2717058000),"10,071",35.869814,128.574289
107,대구광역시 서구 비산5동(2717059000),"6,489",35.886365999999995,128.569624
108,대구광역시 서구 비산6동(2717060000),"7,869",35.876346000000005,128.56908700000002
109,대구광역시 서구 비산7동(2717061000),"10,968",35.888046,128.55350900000002
110,대구광역시 서구 평리1동(2717062000),"7,956",35.875642,128.563467
111,대구광역시 서구 평리2동(2717063000),"8,215",35.87127,128.563746
112,대구광역시 서구 평리3동(2717064000),"10,238",35.875914,128.561265
113,대구광역시 서구 평리4동(2717065000),"18,302",35.867346000000005,128.55666499999998
114,대구광역시 서구 평리5동(2717066000),"1,970",35.873818,128.54870400000001
115,대구광역시 서구 평리6동(2717066100),"5,380",35.875253,128.548259
116,대구광역시 서구 상중이동(2717067500),"20,592",35.867999,128.544002
117,대구광역시 서구 원대동(2717069500),"7,982",35.886829999999996,128.57435700000002
118,대구광역시 수성구 범어1동(2726051000),"16,546",35.855533,128.62211499999998
119,대구광역시 수성구 범어2동(2726052000),"15,433",35.860118,128.631263
120,대구광역시 수성구 범어3동(2726053000),"16,435",35.8662,128.61779099999998
121,대구광역시 수성구 범어4동(2726054000),"18,794",35.858145,128.641257
122,대구광역시 수성구 만촌1동(2726055000),"23,512",35.87295,128.646935
123,대구광역시 수성구 만촌2동(2726056000),"11,623",35.859916,128.64719399999998
124,대구광역시 수성구 만촌3동(2726056100),"20,560",35.855509000000005,128.65048000000002
125,대구광역시 수성구 수성1가동(2726057000),"18,828",35.854977000000005,128.610928
126,대구광역시 수성구 수성2.3가동(2726058000),"12,340",35.854676,128.61882
127,대구광역시 수성구 수성4가동(2726059000),"15,351",35.862584999999996,128.61611299999998
128,대구광역시 수성구 황금1동(2726060100),"24,580",35.843984000000006,128.63814299999999
129,대구광역시 수성구 황금2동(2726060200),"11,295",35.841574,128.625172
130,대구광역시 수성구 중동(2726061000),"11,364",35.844687,128.612123
131,대구광역시 수성구 상동(2726062000),"16,782",35.833361,128.611549
132,대구광역시 수성구 파동(2726063000),"13,029",35.812464,128.614155
133,대구광역시 수성구 두산동(2726064000),"14,123",35.828357000000004,128.620652
134,대구광역시 수성구 지산1동(2726065100),"22,856",35.825007,128.63716100000002
135,대구광역시 수성구 지산2동(2726065200),"19,454",35.823172,128.628016
136,대구광역시 수성구 범물1동(2726066100),"11,858",35.817876,128.645957
137,대구광역시 수성구 범물2동(2726066200),"15,839",35.817492,128.643619
138,대구광역시 수성구 고산1동(2726067000),"31,884",35.837357,128.71233999999998
139,대구광역시 수성구 고산2동(2726068000),"28,060",35.843515000000004,128.69516000000002
140,대구광역시 수성구 고산3동(2726069000),"34,630",35.844062,128.706434
